#Provincia;Provincia;#De Casos;Defunciones;Date;Boletines;Recuperados;Dia
25;Santiago;29;0;21/3/2020;Boletin #3;0;3
26;Santiago Rodriguez;0;0;21/3/2020;Boletin #3;0;3
27;Valverde;1;0;21/3/2020;Boletin #3;0;3
28;Monsenor Nouel;2;0;21/3/2020;Boletin #3;0;3
29;Monte Plata;0;0;21/3/2020;Boletin #3;0;3
30;Hato Mayor;0;0;21/3/2020;Boletin #3;0;3
31;San Jose De Ocoa;0;0;21/3/2020;Boletin #3;0;3
32;Santo Domingo;31;0;21/3/2020;Boletin #3;0;3
1;Distrito Nacional;108;0;22/3/2020;Boletin #4;0;4
2;Azua;2;0;22/3/2020;Boletin #4;0;4
3;Bahoruco;0;0;22/3/2020;Boletin #4;0;4
4;Barahona;1;0;22/3/2020;Boletin #4;0;4
5;Dajabon;0;0;22/3/2020;Boletin #4;0;4
6;Duarte;17;1;22/3/2020;Boletin #4;0;4
7;Elias Pina;0;0;22/3/2020;Boletin #4;0;4
8;El Seibo;0;0;22/3/2020;Boletin #4;0;4
9;Espaillat;1;0;22/3/2020;Boletin #4;0;4
10;Independecia;0;0;22/3/2020;Boletin #4;0;4
11;La Altagracia;7;0;22/3/2020;Boletin #4;0;4
12;La Romana;6;0;22/3/2020;Boletin #4;0;4
13;La Vega;7;0;22/3/2020;Boletin #4;0;4
14;Maria Trinidad Sanchez;2;0;22/3/2020;Boletin #4;0;4
15;Monte Cristi;0;0;22/3/2020;Boletin #4;0;4
16;Pedernales;0;0;22/3/2020;Boletin #4;0;4
17;Peravia;0;0;22/3/2020;Boletin #4;0;4
18;Puerto Plata;3;0;22/3/2020;Boletin #4;0;4
19;Hermanas Mirabal;3;0;22/3/2020;Boletin #4;0;4
20;Samana;4;0;22/3/2020;Boletin #4;0;4
21;San Cristobal;1;0;22/3/2020;Boletin #4;0;4
22;San Juan;2;1;22/3/2020;Boletin #4;0;4
23;San Pedro de Macoris;7;1;22/3/2020;Boletin #4;0;4
24;Sanchez Ramirez;1;0;22/3/2020;Boletin #4;0;4
25;Santiago;30;0;22/3/2020;Boletin #4;0;4
26;Santiago Rodriguez;0;0;22/3/2020;Boletin #4;0;4
27;Valverde;1;0;22/3/2020;Boletin #4;0;4
28;Monsenor Nouel;3;0;22/3/2020;Boletin #4;0;4
29;Monte Plata;0;0;22/3/2020;Boletin #4;0;4
30;Hato Mayor;0;0;22/3/2020;Boletin #4;0;4
31;San Jose De Ocoa;0;0;22/3/2020;Boletin #4;0;4
32;Santo Domingo;39;0;22/3/2020;Boletin #4;0;4
1;Distrito Nacional;137;0;23/3/2020;Boletin #5;0;5
2;Azua;1;0;23/3/2020;Boletin #5;0;5
3;Bahoruco;0;0;23/3/2020;Boletin #5;0;5
4;Barahona;1;0;23/3/2020;Boletin #5;0;5
5;Dajabon;0;0;23/3/2020;Boletin #5;0;5
6;Duarte;29;4;23/3/2020;Boletin #5;0;5
7;Elias Pina;0;0;23/3/2020;Boletin #5;0;5
8;El Seibo;0;0;23/3/2020;Boletin #5;0;5
9;Espaillat;2;0;23/3/2020;Boletin #5;0;5
10;Independecia;0;0;23/3/2020;Boletin #5;0;5
11;La Altagracia;11;0;23/3/2020;Boletin #5;0;5
12;La Romana;5;0;23/3/2020;Boletin #5;0;5
13;La Vega;8;0;23/3/2020;Boletin #5;0;5
14;Maria Trinidad Sanchez;3;0;23/3/2020;Boletin #5;0;5
15;Monte Cristi;0;0;23/3/2020;Boletin #5;0;5
16;Pedernales;0;0;23/3/2020;Boletin #5;0;5
17;Peravia;0;0;23/3/2020;Boletin #5;0;5
18;Puerto Plata;5;0;23/3/2020;Boletin #5;0;5
19;Hermanas Mirabal;3;0;23/3/2020;Boletin #5;0;5
20;Samana;5;0;23/3/2020;Boletin #5;0;5
21;San Cristobal;1;0;23/3/2020;Boletin #5;0;5
22;San Juan;2;1;23/3/2020;Boletin #5;0;5
23;San Pedro de Macoris;10;1;23/3/2020;Boletin #5;0;5
24;Sanchez Ramirez;1;0;23/3/2020;Boletin #5;0;5
25;Santiago;44;0;23/3/2020;Boletin #5;0;5
26;Santiago Rodriguez;0;0;23/3/2020;Boletin #5;0;5
27;Valverde;1;0;23/3/2020;Boletin #5;0;5
28;Monsenor Nouel;3;0;23/3/2020;Boletin #5;0;5
29;Monte Plata;0;0;23/3/2020;Boletin #5;0;5
30;Hato Mayor;0;0;23/3/2020;Boletin #5;0;5
31;San Jose De Ocoa;0;0;23/3/2020;Boletin #5;0;5
32;Santo Domingo;40;0;23/3/2020;Boletin #5;0;5
1;Distrito Nacional;178;1;24/3/2020;Boletin #6;0;6
2;Azua;1;0;24/3/2020;Boletin #6;0;6
3;Bahoruco;0;0;24/3/2020;Boletin #6;0;6
4;Barahona;2;0;24/3/2020;Boletin #6;0;6
5;Dajabon;0;0;24/3/2020;Boletin #6;0;6
6;Duarte;29;4;24/3/2020;Boletin #6;0;6
7;Elias Pina;0;0;24/3/2020;Boletin #6;0;6
8;El Seibo;0;0;24/3/2020;Boletin #6;0;6
9;Espaillat;5;0;24/3/2020;Boletin #6;0;6
10;Independecia;1;0;24/3/2020;Boletin #6;0;6
11;La Altagracia;12;0;24/3/2020;Boletin #6;0;6
12;La Romana;5;0;24/3/2020;Boletin #6;0;6
13;La Vega;8;0;24/3/2020;Boletin #6;0;6
14;Maria Trinidad Sanchez;3;0;24/3/2020;Boletin #6;0;6
15;Monte Cristi;0;0;24/3/2020;Boletin #6;0;6
16;Pedernales;0;0;24/3/2020;Boletin #6;0;6
17;Peravia;0;0;24/3/2020;Boletin #6;0;6
18;Puerto Plata;5;0;24/3/2020;Boletin #6;0;6
19;Hermanas Mirabal;3;0;24/3/2020;Boletin #6;0;6
20;Samana;7;1;24/3/2020;Boletin #6;0;6
21;San Cristobal;4;0;24/3/2020;Boletin #6;0;6
22;San Juan;2;1;24/3/2020;Boletin #6;0;6
23;San Pedro de Macoris;10;1;24/3/2020;Boletin #6;0;6
24;Sanchez Ramirez;6;0;24/3/2020;Boletin #6;0;6
25;Santiago;53;2;24/3/2020;Boletin #6;0;6
26;Santiago Rodriguez;0;0;24/3/2020;Boletin #6;0;6
27;Valverde;1;0;24/3/2020;Boletin #6;0;6
28;Monsenor Nouel;3;0;24/3/2020;Boletin #6;0;6
29;Monte Plata;0;0;24/3/2020;Boletin #6;0;6
30;Hato Mayor;2;0;24/3/2020;Boletin #6;0;6
31;San Jose De Ocoa;0;0;24/3/2020;Boletin #6;0;6
32;Santo Domingo;52;0;24/3/2020;Boletin #6;0;6
1;Distrito Nacional;235;1;25/3/2020;Boletin #7;0;7
2;Azua;4;0;25/3/2020;Boletin #7;0;7
3;Bahoruco;0;0;25/3/2020;Boletin #7;0;7
4;Barahona;2;0;25/3/2020;Boletin #7;0;7
5;Dajabon;0;0;25/3/2020;Boletin #7;0;7
6;Duarte;43;4;25/3/2020;Boletin #7;0;7
7;Elias Pina;0;0;25/3/2020;Boletin #7;0;7
8;El Seibo;0;0;25/3/2020;Boletin #7;0;7
9;Espaillat;10;0;25/3/2020;Boletin #7;0;7
10;Independecia;1;0;25/3/2020;Boletin #7;0;7
11;La Altagracia;11;0;25/3/2020;Boletin #7;0;7
12;La Romana;6;0;25/3/2020;Boletin #7;0;7
13;La Vega;11;0;25/3/2020;Boletin #7;0;7
14;Maria Trinidad Sanchez;4;0;25/3/2020;Boletin #7;0;7
15;Monte Cristi;0;0;25/3/2020;Boletin #7;0;7
16;Pedernales;0;0;25/3/2020;Boletin #7;0;7
17;Peravia;0;0;25/3/2020;Boletin #7;0;7
18;Puerto Plata;7;0;25/3/2020;Boletin #7;0;7
19;Hermanas Mirabal;3;0;25/3/2020;Boletin #7;0;7
20;Samana;7;1;25/3/2020;Boletin #7;0;7
21;San Cristobal;5;0;25/3/2020;Boletin #7;0;7
22;San Juan;2;1;25/3/2020;Boletin #7;0;7
23;San Pedro de Macoris;12;1;25/3/2020;Boletin #7;0;7
24;Sanchez Ramirez;6;0;25/3/2020;Boletin #7;0;7
25;Santiago;57;2;25/3/2020;Boletin #7;0;7
26;Santiago Rodriguez;0;0;25/3/2020;Boletin #7;0;7
27;Valverde;2;0;25/3/2020;Boletin #7;0;7
28;Monsenor Nouel;3;0;25/3/2020;Boletin #7;0;7
29;Monte Plata;0;0;25/3/2020;Boletin #7;0;7
30;Hato Mayor;2;0;25/3/2020;Boletin #7;0;7
31;San Jose De Ocoa;0;0;25/3/2020;Boletin #7;0;7
32;Santo Domingo;55;0;25/3/2020;Boletin #7;0;7
1;Distrito Nacional;273;2;26/3/2020;Boletin #8;0;8
2;Azua;4;0;26/3/2020;Boletin #8;0;8
3;Bahoruco;0;0;26/3/2020;Boletin #8;0;8
4;Barahona;4;0;26/3/2020;Boletin #8;0;8
5;Dajabon;0;0;26/3/2020;Boletin #8;0;8
6;Duarte;59;12;26/3/2020;Boletin #8;0;8
7;Elias Pina;0;0;26/3/2020;Boletin #8;0;8
8;El Seibo;0;0;26/3/2020;Boletin #8;0;8
9;Espaillat;10;0;26/3/2020;Boletin #8;0;8
10;Independecia;1;0;26/3/2020;Boletin #8;0;8
11;La Altagracia;11;0;26/3/2020;Boletin #8;0;8
12;La Romana;8;0;26/3/2020;Boletin #8;0;8
13;La Vega;16;0;26/3/2020;Boletin #8;0;8
14;Maria Trinidad Sanchez;4;0;26/3/2020;Boletin #8;0;8
15;Monte Cristi;0;0;26/3/2020;Boletin #8;0;8
16;Pedernales;0;0;26/3/2020;Boletin #8;0;8
17;Peravia;1;0;26/3/2020;Boletin #8;0;8
18;Puerto Plata;11;0;26/3/2020;Boletin #8;0;8
19;Hermanas Mirabal;4;0;26/3/2020;Boletin #8;0;8
20;Samana;8;0;26/3/2020;Boletin #8;0;8
21;San Cristobal;6;0;26/3/2020;Boletin #8;0;8
22;San Juan;2;1;26/3/2020;Boletin #8;0;8
23;San Pedro de Macoris;13;1;26/3/2020;Boletin #8;0;8
24;Sanchez Ramirez;6;0;26/3/2020;Boletin #8;0;8
25;Santiago;66;2;26/3/2020;Boletin #8;0;8
26;Santiago Rodriguez;0;0;26/3/2020;Boletin #8;0;8
27;Valverde;2;0;26/3/2020;Boletin #8;0;8
28;Monsenor Nouel;4;1;26/3/2020;Boletin #8;0;8
29;Monte Plata;0;0;26/3/2020;Boletin #8;0;8
30;Hato Mayor;2;0;26/3/2020;Boletin #8;0;8
31;San Jose De Ocoa;0;0;26/3/2020;Boletin #8;0;8
32;Santo Domingo;66;0;26/3/2020;Boletin #8;0;8
1;Distrito Nacional;321;4;27/3/2020;Boletin #9;0;9
2;Azua;5;0;27/3/2020;Boletin #9;0;9
3;Bahoruco;0;0;27/3/2020;Boletin #9;0;9
4;Barahona;4;0;27/3/2020;Boletin #9;0;9
5;Dajabon;0;0;27/3/2020;Boletin #9;0;9
6;Duarte;65;13;27/3/2020;Boletin #9;0;9
7;Elias Pina;0;0;27/3/2020;Boletin #9;0;9
8;El Seibo;0;0;27/3/2020;Boletin #9;0;9
9;Espaillat;11;0;27/3/2020;Boletin #9;0;9
10;Independecia;1;0;27/3/2020;Boletin #9;0;9
11;La Altagracia;17;0;27/3/2020;Boletin #9;0;9
12;La Romana;13;0;27/3/2020;Boletin #9;0;9
13;La Vega;33;1;27/3/2020;Boletin #9;0;9
14;Maria Trinidad Sanchez;4;0;27/3/2020;Boletin #9;0;9
15;Monte Cristi;0;0;27/3/2020;Boletin #9;0;9
16;Pedernales;0;0;27/3/2020;Boletin #9;0;9
17;Peravia;1;0;27/3/2020;Boletin #9;0;9
18;Puerto Plata;13;0;27/3/2020;Boletin #9;0;9
19;Hermanas Mirabal;10;0;27/3/2020;Boletin #9;0;9
20;Samana;8;1;27/3/2020;Boletin #9;0;9
21;San Cristobal;8;0;27/3/2020;Boletin #9;0;9
22;San Juan;3;1;27/3/2020;Boletin #9;0;9
23;San Pedro de Macoris;15;1;27/3/2020;Boletin #9;0;9
24;Sanchez Ramirez;7;0;27/3/2020;Boletin #9;0;9
25;Santiago;90;2;27/3/2020;Boletin #9;0;9
26;Santiago Rodriguez;0;0;27/3/2020;Boletin #9;0;9
27;Valverde;2;0;27/3/2020;Boletin #9;0;9
28;Monsenor Nouel;6;1;27/3/2020;Boletin #9;0;9
29;Monte Plata;1;0;27/3/2020;Boletin #9;0;9
30;Hato Mayor;2;0;27/3/2020;Boletin #9;0;9
31;San Jose De Ocoa;0;0;27/3/2020;Boletin #9;0;9
32;Santo Domingo;79;4;27/3/2020;Boletin #9;0;9
1;Distrito Nacional;376;5;28/3/2020;Boletin #10;0;10
2;Azua;6;0;28/3/2020;Boletin #10;0;10
3;Bahoruco;0;0;28/3/2020;Boletin #10;0;10
4;Barahona;2;0;28/3/2020;Boletin #10;0;10
5;Dajabon;0;0;28/3/2020;Boletin #10;0;10
6;Duarte;83;21;28/3/2020;Boletin #10;0;10
7;Elias Pina;0;0;28/3/2020;Boletin #10;0;10
8;El Seibo;0;0;28/3/2020;Boletin #10;0;10
9;Espaillat;15;0;28/3/2020;Boletin #10;0;10
10;Independecia;1;0;28/3/2020;Boletin #10;0;10
11;La Altagracia;21;0;28/3/2020;Boletin #10;0;10
12;La Romana;15;0;28/3/2020;Boletin #10;0;10
13;La Vega;48;1;28/3/2020;Boletin #10;0;10
14;Maria Trinidad Sanchez;4;0;28/3/2020;Boletin #10;0;10
15;Monte Cristi;1;0;28/3/2020;Boletin #10;0;10
16;Pedernales;0;0;28/3/2020;Boletin #10;0;10
17;Peravia;1;0;28/3/2020;Boletin #10;0;10
18;Puerto Plata;16;0;28/3/2020;Boletin #10;0;10
19;Hermanas Mirabal;10;0;28/3/2020;Boletin #10;0;10
20;Samana;9;1;28/3/2020;Boletin #10;0;10
21;San Cristobal;9;0;28/3/2020;Boletin #10;0;10
22;San Juan;3;1;28/3/2020;Boletin #10;0;10
23;San Pedro de Macoris;16;2;28/3/2020;Boletin #10;0;10
24;Sanchez Ramirez;7;0;28/3/2020;Boletin #10;0;10
25;Santiago;97;2;28/3/2020;Boletin #10;0;10
26;Santiago Rodriguez;2;0;28/3/2020;Boletin #10;0;10
27;Valverde;2;0;28/3/2020;Boletin #10;0;10
28;Monsenor Nouel;11;1;28/3/2020;Boletin #10;0;10
29;Monte Plata;1;0;28/3/2020;Boletin #10;0;10
30;Hato Mayor;2;0;28/3/2020;Boletin #10;0;10
31;San Jose De Ocoa;0;0;28/3/2020;Boletin #10;0;10
32;Santo Domingo;101;5;28/3/2020;Boletin #10;0;10
1;Distrito Nacional;381;5;29/3/2020;Boletin #11;0;11
2;Azua;7;0;29/3/2020;Boletin #11;0;11
3;Bahoruco;0;0;29/3/2020;Boletin #11;0;11
4;Barahona;3;0;29/3/2020;Boletin #11;0;11
5;Dajabon;0;0;29/3/2020;Boletin #11;0;11
6;Duarte;90;22;29/3/2020;Boletin #11;0;11
7;Elias Pina;0;0;29/3/2020;Boletin #11;0;11
8;El Seibo;0;0;29/3/2020;Boletin #11;0;11
9;Espaillat;15;0;29/3/2020;Boletin #11;0;11
10;Independecia;1;0;29/3/2020;Boletin #11;0;11
11;La Altagracia;29;0;29/3/2020;Boletin #11;0;11
12;La Romana;21;0;29/3/2020;Boletin #11;0;11
13;La Vega;48;1;29/3/2020;Boletin #11;0;11
14;Maria Trinidad Sanchez;4;0;29/3/2020;Boletin #11;0;11
15;Monte Cristi;1;0;29/3/2020;Boletin #11;0;11
16;Pedernales;1;0;29/3/2020;Boletin #11;0;11
17;Peravia;4;0;29/3/2020;Boletin #11;0;11
18;Puerto Plata;16;0;29/3/2020;Boletin #11;0;11
19;Hermanas Mirabal;10;0;29/3/2020;Boletin #11;0;11
20;Samana;9;1;29/3/2020;Boletin #11;0;11
21;San Cristobal;9;0;29/3/2020;Boletin #11;0;11
22;San Juan;5;1;29/3/2020;Boletin #11;0;11
23;San Pedro de Macoris;17;2;29/3/2020;Boletin #11;0;11
24;Sanchez Ramirez;9;2;29/3/2020;Boletin #11;0;11
25;Santiago;97;2;29/3/2020;Boletin #11;0;11
26;Santiago Rodriguez;2;0;29/3/2020;Boletin #11;0;11
27;Valverde;2;0;29/3/2020;Boletin #11;0;11
28;Monsenor Nouel;11;1;29/3/2020;Boletin #11;0;11
29;Monte Plata;1;0;29/3/2020;Boletin #11;0;11
30;Hato Mayor;2;0;29/3/2020;Boletin #11;0;11
31;San Jose De Ocoa;0;0;29/3/2020;Boletin #11;0;11
32;Santo Domingo;106;5;29/3/2020;Boletin #11;0;11
1;Distrito Nacional;462;9;30/3/2020;Boletin #12;0;12
2;Azua;7;0;30/3/2020;Boletin #12;0;12
3;Bahoruco;0;0;30/3/2020;Boletin #12;0;12
4;Barahona;3;0;30/3/2020;Boletin #12;0;12
5;Dajabon;0;0;30/3/2020;Boletin #12;0;12
6;Duarte;94;22;30/3/2020;Boletin #12;0;12
7;Elias Pina;0;0;30/3/2020;Boletin #12;0;12
8;El Seibo;0;0;30/3/2020;Boletin #12;0;12
9;Espaillat;22;0;30/3/2020;Boletin #12;0;12
